"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/12/2023","376,04","376,00","377,16","373,48","18,73M","0,20%"
"28/12/2023","375,28","375,37","376,46","374,16","14,19M","0,32%"
"27/12/2023","374,07","373,69","375,06","372,81","14,87M","-0,16%"
"26/12/2023","374,66","375,00","376,94","373,50","12,65M","0,02%"
"22/12/2023","374,58","373,68","375,18","372,71","17,11M","0,28%"
"21/12/2023","373,54","372,56","374,41","370,04","17,63M","0,79%"
"20/12/2023","370,62","375,00","376,03","370,53","26,02M","-0,71%"
"19/12/2023","373,26","371,49","373,26","369,84","20,53M","0,16%"
"18/12/2023","372,65","369,45","373,00","368,68","21,80M","0,52%"
"15/12/2023","370,73","366,85","372,40","366,28","78,50M","1,31%"
"14/12/2023","365,93","373,31","373,76","364,13","43,07M","-2,25%"
"13/12/2023","374,37","376,02","377,64","370,77","30,36M","0,00%"
"12/12/2023","374,38","370,85","374,42","370,46","24,71M","0,83%"
"11/12/2023","371,30","368,48","371,60","366,10","27,66M","-0,78%"
"08/12/2023","374,23","369,20","374,46","368,23","20,15M","0,88%"
"07/12/2023","370,95","368,23","371,45","366,32","22,87M","0,58%"
"06/12/2023","368,80","373,54","374,18","368,03","21,12M","-1,00%"
"05/12/2023","372,52","366,45","373,08","365,62","22,92M","0,92%"
"04/12/2023","369,14","369,10","369,52","362,90","31,94M","-1,43%"
"01/12/2023","374,51","376,76","378,16","371,31","33,04M","-1,16%"
"30/11/2023","378,91","378,49","380,09","375,47","29,35M","0,02%"
"29/11/2023","378,85","383,76","384,30","377,44","24,36M","-1,01%"
"28/11/2023","382,70","378,35","383,00","378,16","20,33M","1,08%"
"27/11/2023","378,61","376,78","380,64","376,20","22,14M","0,31%"
"24/11/2023","377,43","377,33","377,97","375,14","9,38M","-0,11%"
"22/11/2023","377,85","378,00","379,79","374,96","23,36M","1,28%"
"21/11/2023","373,07","375,67","376,22","371,12","28,42M","-1,16%"
"20/11/2023","377,44","371,22","378,87","371,00","52,53M","2,05%"
"17/11/2023","369,85","373,61","374,37","367,00","40,33M","-1,68%"
"16/11/2023","376,17","370,96","376,35","370,18","26,43M","1,76%"
"15/11/2023","369,67","371,28","373,13","367,11","26,15M","-0,16%"
"14/11/2023","370,27","371,01","371,95","367,35","26,81M","0,98%"
"13/11/2023","366,68","368,22","368,47","365,90","19,94M","-0,81%"
"10/11/2023","369,67","361,49","370,10","361,07","28,07M","2,49%"
"09/11/2023","360,69","362,30","364,79","360,36","23,82M","-0,69%"
"08/11/2023","363,20","361,68","363,87","360,55","25,73M","0,74%"
"07/11/2023","360,53","359,40","362,46","357,63","25,74M","1,12%"
"06/11/2023","356,53","353,45","357,54","353,35","23,29M","1,06%"
"03/11/2023","352,80","349,63","354,39","347,33","23,64M","1,29%"
"02/11/2023","348,32","347,24","348,83","344,77","24,10M","0,65%"
"01/11/2023","346,07","339,79","347,42","339,65","28,16M","2,35%"
"31/10/2023","338,11","338,85","339,00","334,69","19,75M","0,24%"
"30/10/2023","337,31","333,41","339,45","331,83","22,78M","2,27%"
"27/10/2023","329,81","330,42","336,72","328,40","29,86M","0,59%"
"26/10/2023","327,89","340,54","341,63","326,94","37,23M","-3,75%"
"25/10/2023","340,67","345,02","346,20","337,62","54,46M","3,07%"
"24/10/2023","330,53","331,30","331,84","327,60","27,52M","0,37%"
"23/10/2023","329,32","325,47","332,73","324,39","24,32M","0,81%"
"20/10/2023","326,67","331,72","331,92","325,45","25,03M","-1,40%"
"19/10/2023","331,32","332,15","336,88","330,91","24,91M","0,37%"
"18/10/2023","330,11","332,49","335,59","328,30","23,03M","-0,59%"
"17/10/2023","332,06","329,59","333,46","327,41","18,00M","-0,17%"
"16/10/2023","332,64","331,05","336,14","330,60","22,10M","1,50%"
"13/10/2023","327,73","332,38","333,83","326,36","21,09M","-1,04%"
"12/10/2023","331,16","330,57","333,63","328,72","19,27M","-0,38%"
"11/10/2023","332,42","331,21","332,82","329,14","19,83M","1,23%"
"10/10/2023","328,39","330,96","331,10","327,67","20,52M","-0,43%"
"09/10/2023","329,82","324,75","330,30","323,18","19,89M","0,78%"
"06/10/2023","327,26","316,55","329,19","316,30","25,67M","2,47%"
"05/10/2023","319,36","319,09","319,98","314,90","16,94M","0,13%"
"04/10/2023","318,95","314,03","320,04","314,00","20,25M","1,78%"
"03/10/2023","313,39","320,83","321,39","311,21","20,59M","-2,61%"
"02/10/2023","321,80","316,28","321,89","315,18","20,57M","1,92%"
"29/09/2023","315,75","317,75","319,47","314,98","24,15M","0,67%"
"28/09/2023","313,64","310,99","315,48","309,45","19,30M","0,27%"
"27/09/2023","312,79","312,30","314,30","309,69","19,31M","0,21%"
"26/09/2023","312,14","315,13","315,88","310,02","26,06M","-1,70%"
"25/09/2023","317,54","316,59","317,67","315,00","16,54M","0,17%"
"22/09/2023","317,01","321,32","321,45","316,15","21,45M","-0,79%"
"21/09/2023","319,53","319,26","325,35","315,00","34,45M","-0,39%"
"20/09/2023","320,77","329,51","329,59","320,51","20,16M","-2,40%"
"19/09/2023","328,65","326,17","329,39","324,51","16,49M","-0,12%"
"18/09/2023","329,06","327,80","330,40","326,36","16,63M","-0,35%"
"15/09/2023","330,22","336,92","337,40","329,65","37,68M","-2,50%"
"14/09/2023","338,70","339,15","340,86","336,57","20,17M","0,79%"
"13/09/2023","336,06","331,31","336,85","331,17","16,47M","1,29%"
"12/09/2023","331,77","335,82","336,79","331,48","17,16M","-1,83%"
"11/09/2023","337,94","337,24","338,42","335,43","15,86M","1,10%"
"08/09/2023","334,27","330,09","336,16","329,46","19,55M","1,32%"
"07/09/2023","329,91","331,29","333,08","329,03","17,81M","-0,89%"
"06/09/2023","332,88","333,38","334,46","330,18","17,35M","-0,20%"
"05/09/2023","333,55","329,00","334,85","328,66","18,09M","1,49%"
"01/09/2023","328,66","331,31","331,99","326,78","14,94M","0,27%"
"31/08/2023","327,76","329,20","330,91","326,78","26,26M","-0,31%"
"30/08/2023","328,79","328,67","329,81","326,45","15,00M","0,12%"
"29/08/2023","328,41","321,88","328,98","321,88","19,07M","1,46%"
"28/08/2023","323,70","325,66","326,15","321,72","14,56M","0,22%"
"25/08/2023","322,98","321,47","325,36","318,80","21,68M","0,94%"
"24/08/2023","319,97","332,85","332,98","319,96","21,48M","-2,15%"
"23/08/2023","327,00","323,82","329,20","323,46","19,45M","1,41%"
"22/08/2023","322,46","325,50","326,08","321,46","16,05M","0,18%"
"21/08/2023","321,88","317,93","322,77","317,04","21,79M","1,71%"
"18/08/2023","316,48","314,49","318,38","311,55","24,76M","-0,13%"
"17/08/2023","316,88","320,54","321,87","316,21","20,22M","-1,10%"
"16/08/2023","320,40","320,80","324,42","319,80","19,55M","-0,45%"
"15/08/2023","321,86","323,00","325,09","320,90","16,80M","-0,67%"
"14/08/2023","324,04","321,39","324,06","320,08","18,84M","0,94%"
"11/08/2023","321,01","320,26","322,41","319,21","24,36M","-0,59%"
"10/08/2023","322,93","326,02","328,26","321,18","20,00M","0,22%"
"09/08/2023","322,23","326,47","327,11","321,05","19,12M","-1,17%"
"08/08/2023","326,05","326,96","328,75","323,00","22,19M","-1,23%"
"07/08/2023","330,11","328,37","331,11","327,52","17,74M","0,71%"
"04/08/2023","327,78","331,88","335,14","327,24","23,74M","0,34%"
"03/08/2023","326,66","326,00","329,88","325,95","17,96M","-0,26%"
"02/08/2023","327,50","333,63","333,63","326,36","27,43M","-2,63%"
"01/08/2023","336,34","335,19","338,54","333,70","18,15M","0,13%"
"31/07/2023","335,92","336,92","337,70","333,36","25,34M","-0,72%"
"28/07/2023","338,37","333,67","340,01","333,17","28,48M","2,31%"
"27/07/2023","330,72","340,48","341,33","329,05","39,64M","-2,09%"
"26/07/2023","337,77","341,44","344,67","333,11","58,38M","-3,76%"
"25/07/2023","350,98","347,11","351,89","345,07","41,64M","1,70%"
"24/07/2023","345,11","345,85","346,92","342,31","25,66M","0,39%"
"21/07/2023","343,77","349,15","350,30","339,83","69,41M","-0,89%"
"20/07/2023","346,87","353,57","357,97","345,37","33,78M","-2,31%"
"19/07/2023","355,08","361,75","362,46","352,43","39,73M","-1,23%"
"18/07/2023","359,49","345,83","366,78","342,17","64,52M","3,98%"
"17/07/2023","345,73","345,68","346,99","342,20","20,03M","0,14%"
"14/07/2023","345,24","347,59","351,43","344,31","28,35M","0,75%"
"13/07/2023","342,66","339,56","343,74","339,02","20,57M","1,62%"
"12/07/2023","337,20","336,60","341,65","335,67","29,35M","1,42%"
"11/07/2023","332,47","331,06","332,86","327,00","26,38M","0,19%"
"10/07/2023","331,83","334,60","335,23","327,59","32,73M","-1,60%"
"07/07/2023","337,22","339,32","341,79","337,00","21,21M","-1,19%"
"06/07/2023","341,27","337,30","342,99","335,50","28,02M","0,92%"
"05/07/2023","338,15","335,09","341,65","334,73","18,07M","0,05%"
"03/07/2023","337,99","339,49","340,85","336,60","12,51M","-0,75%"
"30/06/2023","340,54","337,75","342,73","337,20","26,83M","1,64%"
"29/06/2023","335,05","334,71","336,11","332,62","16,86M","-0,24%"
"28/06/2023","335,85","334,66","337,98","333,81","19,52M","0,38%"
"27/06/2023","334,57","331,86","336,15","329,30","23,68M","1,82%"
"26/06/2023","328,60","333,72","336,11","328,49","21,25M","-1,92%"
"23/06/2023","335,02","334,36","337,96","333,45","23,15M","-1,38%"
"22/06/2023","339,71","334,12","340,12","333,34","23,03M","1,84%"
"21/06/2023","333,56","336,37","337,73","332,07","24,87M","-1,33%"
"20/06/2023","338,05","339,31","342,08","335,86","26,01M","-1,25%"
"16/06/2023","342,33","351,32","351,47","341,95","46,55M","-1,66%"
"15/06/2023","348,10","337,48","349,84","337,20","38,61M","3,19%"
"14/06/2023","337,34","334,34","339,04","332,81","25,83M","0,91%"
"13/06/2023","334,29","334,46","336,98","330,39","22,66M","0,74%"
"12/06/2023","331,85","328,58","332,10","325,16","24,18M","1,55%"
